simulation,Fst,,,,,
msprime,0.07008361942067300,,,,,
msprime,0.12101120863082800,,,,,
msprime,0.08384259560283340,,,,,
msprime,0.10209642394432000,,,,,
msprime,0.09785852929006890,,,,,
msprime,0.10665885926842700,,,,,
msprime,0.06645468559063800,,,,,
msprime,0.07929261176547380,,,,,
msprime,0.0980614956658366,,,,,
msprime,0.1463297944970680,,,,,
msprime,0.11261463051628600,,,,,
msprime,0.09275581471998540,,,,,
msprime,0.09157950833446580,,,,,
msprime,0.08977440927486570,,,,,
msprime,0.09003289693882350,,,,,
msprime,0.13000506667598600,,,,,
msprime,0.12258948556558600,,,,,
msprime,0.082105145946094,,,,,
msprime,0.13661304904491300,,,,,
msprime,0.09887388089189310,,,,,
msprime,0.12283703497176700,,,,,
msprime,0.09134833242402710,,,,,
msprime,0.09800455080570070,,,,,
msprime,0.10574833878941000,,,,,
msprime,0.10662928053153200,,,,,
msprime,0.13694580119897800,,,,,
msprime,0.08376224013691970,,,,,
msprime,0.08453462925700370,,,,,
msprime,0.10548625706792000,,,,,
msprime,0.0906683819139127,,,,,
msprime,0.11915838121891700,,,,,
msprime,0.08697017796635030,,,,,
msprime,0.08892740354664750,,,,,
msprime,0.10869231964433300,,,,,
msprime,0.1066121617794500,,,,,
msprime,0.10632045379570600,,,,,
msprime,0.06977539796426090,,,,,
msprime,0.07223189148393610,,,,,
msprime,0.06856631148576050,,,,,
msprime,0.11404251683838200,,,,,
msprime,0.11234139633372200,,,,,
msprime,0.12296409556311400,,,,,
msprime,0.10612947660578900,,,,,
msprime,0.10288956998144600,,,,,
msprime,0.15644537817341200,,,,,
msprime,0.07333131215674450,,,,,
msprime,0.10953943221447200,,,,,
msprime,0.0813192633847366,,,,,
msprime,0.11697178456781600,,,,,
msprime,0.10112931101191800,,,,,
msprime,0.12712240237599400,,,,,
msprime,0.09216373789569820,,,,,
msprime,0.0957958264553432,,,,,
msprime,0.13268892397921800,,,,,
msprime,0.10731340238693000,,,,,
msprime,0.0843923419758564,,,,,
msprime,0.10283677367303100,,,,,
msprime,0.09598438356761940,,,,,
msprime,0.1331132351679740,,,,,
msprime,0.1165518975924250,,,,,
msprime,0.07545174642769300,,,,,
msprime,0.09869937570030290,,,,,
msprime,0.09412957792006740,,,,,
msprime,0.07254710993907410,,,,,
msprime,0.07836123215525390,,,,,
msprime,0.0766215970805343,,,,,
msprime,0.1202769255648810,,,,,
msprime,0.08387372322066300,,,,,
msprime,0.07750146637036120,,,,,
msprime,0.10645642788786800,,,,,
msprime,0.1378077904001440,,,,,
msprime,0.06628182530066450,,,,,
msprime,0.08641910384410610,,,,,
msprime,0.09431247583866950,,,,,
msprime,0.08987192230342880,,,,,
msprime,0.10123634192262800,,,,,
msprime,0.08946052571633310,,,,,
msprime,0.10407772948638100,,,,,
msprime,0.10046911355752200,,,,,
msprime,0.0921701694664425,,,,,
msprime,0.07169655919090300,,,,,
msprime,0.11878685580967800,,,,,
msprime,0.09979936231239220,,,,,
msprime,0.0712462170983785,,,,,
msprime,0.09394995835001460,,,,,
msprime,0.08264631493534390,,,,,
msprime,0.07940597803941750,,,,,
msprime,0.08315740201697920,,,,,
msprime,0.056784367665154300,,,,,
msprime,0.07918444583440520,,,,,
msprime,0.07258991073265610,,,,,
msprime,0.11239242776130600,,,,,
msprime,0.09624244935039510,,,,,
msprime,0.06778599649514380,,,,,
msprime,0.1070599657982310,,,,,
msprime,0.07632859638787440,,,,,
msprime,0.12484809400343800,,,,,
msprime,0.10546645623623900,,,,,
msprime,0.08517611778141150,,,,,
msprime,0.08285280931155740,,,,,
msprime,0.09743014888017720,,,,,
msprime,0.10102371275182800,,,,,
msprime,0.11689222022574100,,,,,
msprime,0.09838414834939110,,,,,
msprime,0.11288182823037900,,,,,
msprime,0.08084049003450940,,,,,
msprime,0.0811800297840071,,,,,
msprime,0.11162870095168700,,,,,
msprime,0.08417194755933460,,,,,
msprime,0.09682432840547860,,,,,
msprime,0.09564442727919790,,,,,
msprime,0.1081839416461430,,,,,
msprime,0.10887605032696600,,,,,
msprime,0.08062604160790820,,,,,
msprime,0.10745055613200000,,,,,
msprime,0.1168133981481480,,,,,
msprime,0.08916582649319180,,,,,
msprime,0.0898112430848416,,,,,
msprime,0.13995643070428600,,,,,
