(0, 1)	(0, 1)	(0, 1)	(0, 1)	(0, 1)	(0, 1)	(0, 2)	(0, 2)	(0, 2)	(0, 2)	(0, 2)	(0, 2)	
Continuity_L	Free_L	Continuity_t1	Free_t1	Continuity_t2	Free_t2	Continuity_L	Free_L	Continuity_t1	Free_t1	Continuity_t2	Free_t2	
8498.91078324893	8498.910783254669	0.06841533188949663	0.0684153017093699	0.11019278997409862	1e-10	7347.623305451239	7323.736521455256	0.21081573531275152	0.14521199149151512	0.09896690502209057	0.15595004550690802	
8268.89384346697	8268.103251482642	0.051380083367309044	0.04109902916404581	0.10962084501671635	0.020431567835414027	7473.961059447344	7463.903864516726	0.15647289037710982	0.11475980681218007	0.001413645118010671	0.08053749261116543	
8477.024316353663	8477.024316359468	0.058041084268944436	0.05804107061217394	0.06445209891221046	1e-10	7062.406048058684	7057.70204154906	0.16481788720401572	0.13740522686868337	0.040390471043208045	0.05475226349414865	
9176.837991922728	9176.78302580472	0.029517719484649135	0.026991537825033277	0.05534337042646215	0.005273002150139486	8810.678343060566	8802.67506750452	0.12624941098001116	0.09083175343487684	0.12219890500855414	0.07528323426939491	
7308.634129499333	7308.634129509511	0.05238919730087884	0.05238912857815747	0.031989750239171326	1e-10	8617.948055420968	8612.496354525118	0.08485470241087237	0.053851021544398164	0.13190754434782082	0.06321620053539874	
7829.240538170735	7829.2405381802355	0.07422710168678232	0.07422714638336642	0.01048431692333969	1e-10	8983.911638464593	8938.76606690449	0.14274117780652146	0.05381370582122615	0.2	0.21399027612482782	
9107.411143712512	9104.376992497335	0.07328887317155716	0.0539862770418753	0.16106546463846955	0.046434495397609424	7158.069420344582	7148.452602770507	0.15754557974714462	0.11909621715236007	0.06537709562759514	0.07617110415979599	
8292.89027456149	8292.455456729773	0.0516478116210744	0.04316104587558592	0.024571547837928125	0.01568634547989993	8009.747964980817	7984.635409768022	0.20263837027790282	0.12915668304112524	0.054780975407344994	0.1444273431702151	
8351.419418569441	8346.036406627758	0.05563939993940119	0.028992738462615915	0.12602178075813195	0.05493710783463936	8244.984034690686	8213.727563274999	0.13911752561152488	0.0620979596066708	0.004847532120399497	0.15491502689029243	
7025.730139562266	7024.740170757739	0.0486829944734151	0.03640823806769473	0.022782362825914004	0.021354519214347438	7865.557801469446	7865.055476566848	0.12727666939060825	0.11770952643909074	0.042345871899187246	0.017522202138545235	
8439.89182898736	8439.891829009322	0.04094982179255518	0.04094975643092483	0.009290628231976787	1e-10	8599.10144072646	8591.373887393796	0.16704076883965138	0.131888602785667	0.02752432104857038	0.069202253772794	
7220.037196883359	7219.708994186005	0.07480969568739101	0.0682415543493224	0.07695687569611569	0.012501017133338153	7990.322401809357	7975.130344042631	0.19462775257658368	0.14489431202789993	0.11551880996204009	0.12043304422275884	
7960.438368121256	7960.43606201644	0.04400102648743237	0.04344181728817073	0.012587682230972778	0.001007492889373107	10042.14107480528	10037.143603612167	0.14690249741181788	0.11664482035523317	0.0704222932494997	0.07170436479201005	
7983.5027774898745	7982.948046815145	0.050443888409369995	0.04167221964296772	0.021778288124030813	0.0156354364715456	8611.01910277643	8563.924944107974	0.1475067077372389	0.05577722889144702	0.0098875013613022	0.18050653329967128	
7602.179189836106	7601.843026960019	0.06481300932750048	0.05827543059443731	0.07206212215269882	0.011753407828657948	7201.860460878405	7166.81349981444	0.16836201316481564	0.08990013989522096	0.00044888674914462585	0.15065333054015362	
8702.203112979252	8702.146412460532	0.09839212487004395	0.09577027239515913	0.005048408362409173	0.0058914274533787385	9265.711498833287	9240.714531834956	0.12591932147683596	0.06441040938878562	0.1385904346637116	0.1500362309100353	
7025.038872943176	7025.0388729496635	0.06336194651123979	0.06336198874181004	0.03765321180289381	1e-10	7528.417934439975	7512.563779031651	0.1712311805701214	0.11542196073089035	0.0504899713448219	0.11753836683213398	
7911.245041443948	7908.047616299019	0.06429284177571813	0.041239285373914455	0.01775352487914689	0.046294518311006214	8477.799509826613	8427.62009665274	0.18897909827795617	0.08829255928671129	0.14929578923521283	0.24895920523260776	
6971.903819922122	6971.903819930119	0.05218977094072621	0.05218973743171771	0.035582259084064545	1e-10	6793.486807083861	6747.846538351087	0.14173844707075414	0.05553532140315031	0.02573016338502981	0.1787352064581135	
6666.7262527810835	6661.649113964402	0.057518333484968875	0.031563241667425634	0.01327591228942392	0.04725954722968082	7302.371058270113	7292.743741235801	0.18564335544208668	0.14192991458631815	0.024711957934403832	0.0851804902858467	
8539.668098578646	8539.58130773281	0.09067804394958129	0.08721331754213325	0.027822379194317622	0.007065697154169186	7812.249335033784	7782.521917771439	0.15430710250750135	0.08715946428162469	0.051228992124873904	0.1441001203110307	
8435.620747401463	8432.434832351908	0.04039255237066161	0.020861460822480575	0.05648198497297387	0.0400073462267158	8504.635699928946	8472.443712959475	0.1946716691650599	0.11862216167129547	0.01203244630648899	0.16525368025028037	
8723.12259764739	8721.328613344018	0.08946202241304362	0.07104442974633896	0.13186776112827397	0.038726762097394854	7741.597701119199	7719.652578627946	0.16160476591385423	0.09810774516078911	0.07911151337762998	0.1367100792815356	
7061.603835256842	7055.978987397422	0.11237859657298281	0.07990440471523158	0.03638501240377425	0.06072477729561264	7201.194172292823	7191.361299022061	0.1909572556776692	0.14200029490185948	0.03846177197305416	0.08958193809775047	
7204.612381671358	7204.612381678855	0.07581820062675938	0.07581812265696261	0.01880875124465698	1e-10	7246.173555075043	7227.9665866481055	0.12241142669019932	0.07391078245488444	0.03269512492829799	0.11543414932635	
