BGS_model,Rec_rate,Fst,sd,replicates,sd_e
Interleaved,11000,0.5622687954875610,0.03944471582343990,40,0.00623675718300770
HK95,11000,0.6084500721121660,0.6765650283192230,256,0.0422853142699514
Interleaved,5000,0.5848429779076410,0.06454414509092400,90,0.00680355027052319
HK95,5000,0.6769355122272570,0.6792699411158400,1000,0.0214804016001451
Interleaved,2000,0.6149304516981850,0.09885195394129450,207,0.00687068575148865
HK95,2000,0.6989936965732700,0.6905526967259800,1000,0.0218371936602560
Interleaved,1000,0.6623658723375290,0.135558353473539,404,0.00674428015749014
HK95,1000,0.8326572762572170,1.093203211326260,1000,0.034570120932014
